content,date
"Euro Markets: Midday Update. EU carbon allowance prices extended losses seen on Wednesday afternoon, as a weak auction gave bears confidence to resume selling, with some sources asserting that a recent rally was now over while others pinned their hopes on technical and psychological support at a key level.",29-February-2024 
"EU nations should look at broader climate solutions to bridge the gap towards targets, experts say. EU countries should explore a wide variety of technological solutions to achieve the bloc’s target to cut emissions by at least 55% by 2030 compared to 1990 levels, experts suggested on Wednesday.",28-February-2024 
"FEATURE: UK-EU ETS linkage needed to avert crisis in Northern Ireland despite carbon border tariff, but potential for WTO challenge remains. The UK must make overtures to link its ETS to the EU’s emissions market in order to avoid substantial carbon tariff burdens in Northern Ireland, though ‘non-discrimination’ challenges could apply under World Trade Organisation (WTO) rules regardless, experts have told Carbon Pulse.",28-February-2024 
"Euro Markets: Heavy afternoon sell-off trims early gains on short-covering after strong auction. EU carbon allowance prices rose to a nine-day high in very heavy trading after the strongest auction result in six weeks triggered further short-covering by speculative traders, before a late and steep sell-off trimmed the gains, while the weekly position data showed investors had boosted their bearish bets to a new record.",28-February-2024 
"Uniper reports 22% drop in 2023 EU ETS-covered power generation. Uniper’s EU fossil power generation fell by more than one-fifth last year, the utility said in an annual report on Wednesday.",28-February-2024 
"EU countries fail to reach a deal on corporate due diligence bill. European ambassadors failed to reach an agreement on a bill setting due diligence rules for large companies, including an obligation to adopt Paris Agreement-aligned climate plans, leaving their meeting on Wednesday open-ended after a month-long stall.",28-February-2024 
"FEATURE: Steelmakers brace for end of free EU carbon allowances. Traditional steelmakers say they will have to spend €3 billion on additional EUAs until 2030 to comply with the European Commission’s newly proposed free allocation rules, which aim to promote the cleanest methods of reducing iron ore for steelmaking.",28-February-2024 
Energy exchanges to collaborate on Turkish ETS. Energy exchanges in Germany and Turkey have agreed to collaborate on building a carbon market in the Mediterranean country.,28-February-2024 
"UK urged against carrying surplus emissions over to next carbon budget. The UK government must not carry its surplus of emissions over to the next carbon budget, as the focus of decarbonisation shifts from electricity to tougher-to-abate sectors, the independent Committee on Climate Change (CCC) warned on Wednesday. ",28-February-2024 
"EU carbon-backed digital token startup shuts down amid regulatory, financial difficulties. A startup that lets investors buy digital tokens backed by physical EU carbon allowances has shut down due regulatory and financial difficulties.",27-February-2024 
"Euro Markets: EUAs reverse early losses to post second day of strong gains amid surge in buying. European carbon allowances wiped out early losses to post a second day of healthy gains, closing at their highest level in seven sessions as bullish sentiment and short-covering outweighed a lacklustre morning session, with EUAs helping to drive a recovery in gas and power as well.",28-February-2024 
"EU nature law still alive amid tensions on the Green Deal 100 days before election. A bill to restore at least 20% of the EU’s land and seas by 2030 got the final green light by the European Parliament on Tuesday, amid tensions within the centre-right European People’s Party (EPP) group, which is seeking to portray itself as the farmer’s party as EU elections approach on 6-9 June.",28-February-2024 
"EU heat pump sales fall 5% in 2023, threatening bloc’s climate targets. Heat pump sales across the EU fell by around 5% last year compared to the previous year, data from an industry group show, putting the EU’s climate and energy targets at risk.",27-February-2024 
"Ships hungry for biofuel to reduce EUA buying with break-even point from next year, say analysts. The break-even point between the cost of biofuels and EUAs for the shipping sector is likely to occur as soon as next year, as purchasing greener alternatives to petroleum products becomes cheaper than the cost of carbon permits, according to market analysts.",27-February-2024 
"Italian oil major’s big plans to develop biofuels in Africa falters -NGO. Italian oil giant’s plans to produce thousands of tonnes of biofuel crops in Africa is falling short, an NGO’s study reveals.",27-February-2024 
"EU lawmakers to rubber-stamp nature restoration bill amid green policy backlash. Tuesday’s vote by the full European Parliament’s house on a bill to restore at least 20% of the bloc’s land and sea areas by 2030 is expected to be a ‘rubber-stamping’ exercise, although farmers’ discontent with EU green policies, red tape, and lack of funding has been tearing Brussels apart.",27-February-2024 
"Euro Markets: EUAs post biggest gain in a month as analysts eye price consolidation. EU carbon prices jumped on Monday, posting their biggest daily gain in a month, as several analyst reports highlighted that the year-to-date price decline appeared to be running out of momentum, triggering some short covering that drove the market higher, while energy markets were all firmer.",27-February-2024 
"Germany launches strategy to capture and store CO2. Germany’s economics and climate ministry Robert Habeck launched the country’s first carbon management strategy, as well as a proposal to update CO2 storage laws, at a press conference in Berlin on Monday.",26-February-2024 
"EUA prices oversold, may rally more than 20% by year-end -analysts. EUAs are currently oversold and look set to rally more than 20% by the end of the year, according to analysts, who say the market’s strong correlation with natural gas has dragged carbon permit prices down more than is justified by fundamentals.",26-February-2024 
"Euro Markets: EUAs post 8.7% weekly loss, hit new 31-month low as outlook remains bearish. EU carbon prices settled down 8.7% from the previous Friday, their largest five-day loss in six weeks and setting yet another 31-month low, as selling pressure in both carbon and natural gas continued to steadily weigh on the markets amid little sign of any let-up in the decline, while a bank analyst lowered their end-of-year price forecast.",24-February-2024 
"Threat of foreign energy dependence, influence adds urgency to Western Balkans joining EU ETS, think tank warns. Extending the EU ETS to the Western Balkans’ power sector could enable a faster coal phase-out while also keeping possible Russian and Chinese influence at bay, according to a European think tank.",24-February-2024 
"European Commission scolds EU member states for inadequate 2030 climate plans. Some European Union member states must correct their policies if they are to reach the bloc’s climate targets to cut net greenhouse gas emissions at least 55% by 2030 compared to 1990 levels, according to a European Commission assessment.",24-February-2024 
Green group files criminal complaint against large German oil and gas firm for misreporting emissions. A criminal complaint was filed against Germany’s largest oil and gas producer on Thursday because of “suspicion of false and concealing information” in its previous year’s annual report about the level of carbon emissions.,23-February-2024 
"Polish province commits to phasing out coal by 2030. The province of Wielkopolska in Poland is officially moving out of its historical fossil fuel dependency, after signing up on Friday to the Powering Past Coal Alliance (PPCA) during a conference focused on “Life After Coal”.",23-February-2024 
"Global carbon credit price gap to narrow in 2024, convergence continues between compliance and voluntary markets -analysts. Carbon prices will start to converge in 2024, while the gap between compliance and voluntary credit prices will narrow because more offsets will be included into regulated programmes, according to a report released Thursday.",23-February-2024 
"Euro Markets: EUAs settle at 31-month low as sellers resume steady pressure amid weak sentiment. EU carbon allowance prices fell back on Thursday, settling at their lowest in 31 months and approaching recent long-term intraday lows, as earlier short-covering gave way to renewed selling and traders continued to speculate over where the bottom of the market may be found.",23-February-2024 
"EU Commission’s chief opens up dialogue with clean industry. European Commission President Ursula von der Leyen is committed to discussing the bloc’s climate objectives with its clean technology companies, she said on Thursday, as the bloc’s industry struggles with high energy costs and rising inflation. ",23-February-2024 
"Asian fleet faces 20 Mt/year EU carbon allowance bill once shipping is phased into ETS. The 4,000-strong Asian-flagged shipping fleet that keeps goods flowing from east to west will need to surrender around 20 million EU Allowances (EUAs) a year to cover its emissions once the maritime sector is fully included in the trading bloc’s Emission Trading System (ETS), research finds.",22-February-2024 
"Euro Markets: EUAs post small gain but sentiment flat after position data shows little change from funds. EU carbon prices staged a slow and shallow rally on Wednesday afternoon after early weakness, ending the day modestly higher as the market digested weekly Commitment of Traders data that showed little change in speculative traders’ positions, leaving bulls and bears lacking strong support for their preferred price direction.",22-February-2024 
"Compliance markets will bring guardrails, scale to voluntary carbon as the two converge -experts. The regulatory backbone of compliance mechanisms will help to support and scale the voluntary carbon market (VCM) as the two increasingly overlap, with buyers moving away from individual project assessment to rely instead on the oversight of schemes like CORSIA and Article 6 as a benchmark for credit quality, experts told a webinar Wednesday.",22-February-2024 
"Next Commission needs to set up “Juncker plan on steroids” for green investments -top EU climate official. The next European Commission term should unleash “a Juncker plan on steroids” to spur on climate investment, the Commission’s top climate official said in Brussels on Wednesday.",21-February-2024 
"FEATURE: EU industries want policy clarity, finance to help meet Green Deal goals. Some of the EU’s biggest polluting sectors say they are on board with cutting the bloc’s emissions by 90% by 2040 but warn it will not happen without the policy and financial incentives to maintain their global competitiveness. ",21-February-2024 
"Clean investments must double for EU to meet its 2030 climate targets -research. Investment in the clean transition must reach €813 billion a year this decade – double the amount spent in 2022 – if the EU is to meet its 2030 climate target and ensure the European Green Deal is a success, according to the first comprehensive analysis on the bloc’s climate investments.",21-February-2024 
"Euro Markets: EUAs set new low but rally in late trade as “jittery” market tests key levels. European carbon prices ended Tuesday modestly higher after violent swings in the afternoon drove prices to a 31-month low, before short-covering triggered a €3.30 rally in just two hours and left the market testing another important psychological level ahead of a pause in the auction schedule.",21-February-2024 
"EU industries call for political support in the low-carbon transition. More than 70 European industrial leaders put out a mayday call for help on Tuesday, including through public funding and simplified state aid, to keep low-carbon production within the EU. ",20-February-2024 
"Euro Markets: EUAs post biggest one-day loss in a year as sellers overwhelm limited buying interest. European carbon prices fell by the most in a year on Monday, reaching the lowest intraday price in 30 months as aggressive selling overwhelmed the buy side amid bearish energy markets, and an analyst forecast even weaker prices ahead.",20-February-2024 
EU heavy industries to meet in hush-hush summit on an Industrial Green Deal. More than 60 chief executives of European heavy industries are expected to meet at a chemical plant in Antwerp on Tuesday for a hush-hush summit that will issue a declaration for a European Industrial Green Deal.,20-February-2024 
"Green Deal champion von der Leyen seeks second term as European Commission president. European Commission President Ursula von der Leyen’s bid for a second term could help to protect, and implement, the European Green Deal that she spearheaded, following elections that are heavily favoured towards the political right and against ambitious climate action.",19-February-2024 
"EUA prices set to drop further on weakening gas prices, setting up buying opportunity –analyst. EUA prices are set to fall further to three-year lows as the impact of declining natural gas prices filters through to the rest of the energy complex and demand from compliance buyers remains low, making 2024 “the year to build strategic long positions”, according to a European bank analyst.",19-February-2024 
"Weak EU demand for electric vehicles due to high prices, not the other way around, says campaign group. European carmakers are failing to deliver affordable models for electric vehicles, data show, contrary to popular belief that low consumer demand is behind a “backpedalling” on production plans.",19-February-2024 
"Euro Markets: EUAs give up Thursday’s gains as short-covering demand evaporates, steady selling resumes. EU carbon permit prices gave up all of Thursday’s gains in the final session of the week as the previous day’s short squeeze came to an end and buyers stepped back, while the slow and steady selling that has characterised the market for the last two weeks resumed.",17-February-2024 
EU approves billions in state aid to decarbonise ETS-covered German industrials. Brussels has approved billions in state aid for Germany’s energy-intensive industries covered by the EU ETS to help them reduce greenhouse gas emissions in production processes.,16-February-2024 
"RWE posts 26% annual drop in EU ETS-covered fossil burn. German energy company RWE has reported a huge year-on-year decline in fossil power generation covered by the EU ETS, in preliminary output data for 2023 released this week, while its renewable electricity production surged.",16-February-2024 
"Carbon capture a hot potato to pass to new class of European co-legislators. Carbon capture is expected to be a task for the next European commissioners, due to be nominated after the European Parliament’s elections on June 6-9, experts warned on Thursday.",16-February-2024 
"Euro Markets: Short-covering rally boosted by media reports of German EUA cancellation. European carbon prices recorded a successive rise on Thursday, rising more than 4.3% at one point as short-covering was bolstered by media reports that Germany will cancel surplus coal exit-related EUAs, while the wider energy complex snapped a six-day losing streak after the EU said it would not look to extend agreements to ship Russian gas through Ukraine.",16-February-2024 
"Germany seeks cancellation of spare EU carbon permits freed up by coal exit -media. EU carbon allowances that are no longer needed by German coal power plants being retired as part of a state-enforced coal exit are to be permanently removed from the market, the government told a media source.",15-February-2024 
"Stringent maritime targets urgently needed to align with IMO strategy -report. International shipping targets would need to be “very stringent right from the start”, to align with the International Maritime Organisation (IMO) strategy and reach net-zero emissions by 2050, according to a report released Thursday.",15-February-2024 
"Fossil fuels in the dock as EU petitioners compare them to tobacco lobbies. Fossil fuel companies should be held accountable for their contribution to inflation, and kept at arm’s length from policy making, just like tobacco lobbyists, according to groups heard on Wednesday by the European Parliament’s Petition committee.",15-February-2024 
"European Commission ‘not worried’ by falling carbon price, says senior official. The European Commission is “not too worried” about the tumbling price of carbon allowances, Kurt Vandenberghe, director-general of DG CLIMA, told a virtual event on Wednesday.",15-February-2024 
"Euro Markets: EUAs snap 5-day losing streak amid short squeeze while fund manager sees further weakness. European carbon prices snapped a five-day losing streak on Wednesday, rising on the back of rallies triggered by weekly position data that showed speculative participants had increased their net short position to a new record, even as a well-known fund manager said prices could fall as much as 35% below current levels.",15-February-2024 
"EU ETS2 needs historically huge emissions reductions from cars, buildings to prevent “very high” allowance prices, study warns. Emissions covered by the upcoming EU ETS2 for road transportation and buildings will need to fall over five times faster than historic reduction rates in order to meet the scheme’s cap and prevent “very high” allowance prices, according to a new study.",14-February-2024 
"Rush to implement EU green transition could trigger collateral damage for manufacturing, says industry group. The rush to implement the EU Green Deal could lead to unintended consequences for industries in the bloc, such as the loss of manufacturing capacities and an increased dependence on imports, a press briefing heard.",14-February-2024 
"Euro Markets: EUAs extend losses, approach two-year low before late rally ahead of position data. EU carbon allowances continued their retreat under the weight of selling pressure on Tuesday, reaching yet another 23-month low as traders focused on a key price level last seen during the first days of the conflict in Ukraine, before the market saw a late rally ahead of weekly position data due on Wednesday morning.",14-February-2024 
"EU climate chief calls on “crown jewel” carbon markets to contribute to 90% by 2040 target, seeks global expansion. The EU should put a special focus on carbon markets to reach its climate targets, with the European Commission’s climate chief suggesting it could help cut emissions by 90% compared to 1990 levels while also aiding other countries reach their reduction goals.",14-February-2024 
"EU carbon the worst-performing regional energy market this year as utility, industrial demand slides. EUAs are the worst-performing regional energy commodity of the year to date, as prices have buckled under a lack of demand and the weight of selling pressure by speculative investors and utilities alike.",13-February-2024 
"Germany urged to introduce climate bonus from carbon pricing revenues. Germany should introduce a climate bonus payment to return state revenues from carbon pricing to citizens as compensation for rising costs, according to the head of the International Energy Agency (IEA).",13-February-2024 
"Euro Markets: EUAs fall within €2 of two-year low as disciplined sellers said to be managing price decline. EU carbon prices extended their losses for a fourth consecutive session on Monday, dropping to yet another 23-month low and extending their breach below a key technical level, even as sellers appeared in no rush to hasten the market’s decline.",13-February-2024 
Maritime emissions to surge as ships speed up to bypass Red Sea danger. Emissions from maritime vessels are set to surge by up to 70% as companies increase speeds to compensate for the longer voyages necessitated by re-routing around the Cape of Good Hope instead of through the riskier Suez Canal.,12-February-2024 
Researchers enhance accuracy in EU carbon price forecasting. Researchers say they have found a way of enhancing accuracy in forecasting carbon prices in the EU ETS.,11-February-2024 
"Global carbon markets post 2% increase in value in 2023 -analysts. Global carbon markets expanded for a fifth straight year in 2023, though the 2% annual growth rate was significantly slower compared to the prior year, analysts said.",10-February-2024 
"EU nations postpone vote on due diligence for corporate climate neutrality plans. European ambassadors decided to postpone a vote, scheduled for Friday, on a bill setting due diligence rules for large companies, including an obligation to adopt Paris Agreement-aligned climate plans.",10-February-2024 
"Euro Markets: EUAs extend two-year low as selling pressure gathers momentum. European carbon allowances broke below a key psychological barrier on Friday, setting a fresh 23-month low as sellers grew in confidence in the face of minimal price support, while a growing number of participants highlighted the price from March 2022 as the next major target to the downside.",10-February-2024 
"‘Polluter pays’ principle in EU ETS affecting shipping sector contracts, say experts. The extension of the EU ETS to shipping on Jan. 1 has sparked a new tug-of-war between carriers and charterers founded on cost pass-through and risk management, according to a panel of industry experts on Wednesday.",9-February-2024 
"Euro Markets: EUAs drop to 23-month low as selling momentum increases and sources await allocation news. European carbon prices fell to a 23-month low amid solid selling on Thursday as energy markets eased on forecasts for above-normal temperatures, while some sources highlighted a lack of clear information from the European Commission on whether changes to the compliance calendar are being implemented on time.",9-February-2024 
"Demand rebound for EU steel not yet in sight, but CBAM will help once effective. Persistent downside factors have deepened a crisis in the EU steel and are set to curb what the ETS-covered sector hoped to be a demand rebound in 2024, while the Carbon Border Adjustment Mechanism (CBAM) may fix the problem in the future, according to market data published on Thursday.",8-February-2024 
"Buying cheap EU carbon allowances one of the “great opportunities” of 2024 -analysts. Despite their current downtrend, buying historically cheap EU carbon allowances will likely be one of the “great opportunities” of 2024, analysts predict.",8-February-2024 
"Most shipowners back LNG to meet IMO rules despite methanol hype -report. Shipowners have targeted liquefied natural gas (LNG) as the fuel to meet the International Maritime Organisation’s (IMO) 2030 climate targets, while methanol, seen as a distant second-place option, has been largely promoted by just one major company, finds a report.",8-February-2024 
8 TAKEAWAYS: Rocky road ahead for the EU’s 2040 targets and carbon management plan. The European Commission’s recommendations on Tuesday that the EU aim to reduce emissions by 90% by 2040 and deploy carbon capture to help get there marked the beginning of a rocky road of further climate negotiations.,8-February-2024 
"Euro Markets: EUAs give up Tuesday gains despite auction gap as weekly position data shows little change. European carbon prices gave up the previous session’s gains amid a sharp sell-off on Wednesday afternoon, as the lack of a daily auction and inconclusive weekly position data failed to offer any impetus while mixed energy markets also struggled to give direction.",8-February-2024 
"Only 8% of Germans see carbon pricing as key climate policy tool. Just 8% of Germans see carbon pricing as the most important climate policy to achieve targets, according to a survey published Wednesday.",8-February-2024 
Non-EU shipping companies struggle to navigate ETS rules in tight timeframe. The European Commission’s list of shipping companies and assigned countries for participating in the EU ETS is causing administrative burdens for firms outside the bloc – with little time in which to navigate the new rules.,7-February-2024 
"European fossil fuel electricity generation falls to record low in 2023 -report. Renewable sources are increasingly forming the backbone of the EU power mix, with the region’s fossil fuel electricity generation falling to record-low levels last year, according to a report published on Wednesday.",7-February-2024 
