Date,high,low,close,open,volumek,gas,oil,coal,power,stock,pos,neg,trends
2021/1/4,34.45,33.14,33.89,33.14,1.25,59.45,51.09,69.3,52.98,400.2,0,0,20
2021/1/5,33.83,32.96,33.15,33.69,1.28,54.02,53.6,64.9,49.35,398.8,0.135,0.046,26
2021/1/6,33.88,33.02,33.83,33.71,0.43,52.95,54.3,64.25,49.93,406.1,0.305,0.192,20
2021/1/7,35,34.05,34.97,34.05,1.17,58.08,54.38,66.6,52.88,407.3,0.498,0.281,22
2021/1/8,35.35,34.55,35.14,35.21,1.6,60.69,55.99,68.5,55.43,408.5,0.543,0.109,18
2021/1/11,35.4,34.46,34.76,35.29,1.1,66.3,55.66,68.5,56.58,406.6,0,0,14
2021/1/12,35.59,34.44,34.88,34.6,1.31,77.43,56.58,70.5,59.23,406.7,0.237,0.122,30
2021/1/13,34.85,33.33,33.88,34.73,1.99,65.16,56.06,70.15,55.19,407.4,0.071,0.051,28
2021/1/14,33.97,32.99,33.76,33.77,1.62,63.15,56.42,69.9,53.99,410.1,0.186,0,38
2021/1/15,33.63,31.89,31.96,33.63,1.75,59.35,55.1,68.6,51.69,405.9,0.536,0.374,17
2021/1/18,32.51,31.56,31.84,31.83,1.21,54.86,54.75,67.25,51.69,407,0,0,23
2021/1/19,33.33,32.06,33.3,32.11,1.14,57.77,55.9,67.5,50.49,406.2,0.316,0.146,21
2021/1/20,33.84,33.02,33.12,33.49,0.7,57.44,56.08,67.5,51.07,409,0.576,0,25
2021/1/21,34.41,32.83,34.32,32.89,0.83,56.57,56.1,67.55,51.93,409.7,0.045,0.058,18
2021/1/22,34.45,33.77,34.45,34.27,1.39,60.15,55.41,67.5,52.56,406.2,0.573,0.255,21
2021/1/25,34.84,33.35,33.39,34.77,1.72,56.55,55.88,67.45,52.68,402.9,0,0.175,27
2021/1/26,33.74,33.05,33.56,33.13,1.27,54.1,55.91,67.65,52.72,406.5,0,0.53,32
2021/1/27,33.67,32.48,33.51,33.41,0.61,54.09,55.81,67.7,52.61,401.4,0.184,0.236,24
2021/1/28,34.16,33.15,34.17,33.81,1.06,58.24,55.53,67.8,52.7,401.7,0.378,0.103,23
2021/1/29,34.08,33.16,33.18,34,1.38,53.15,55.88,67.8,52.7,394.1,0.546,0.295,22
2021/2/1,33.58,32.85,33.08,33.19,0.62,48.24,56.35,65.6,49.11,399.4,0,0,22
2021/2/2,35.32,33.29,35.19,33.29,1.04,48.64,57.46,65.4,49.14,404.3,0.327,0.48,31
2021/2/3,38.04,35.07,37.65,35.15,2.59,47.23,58.46,63.75,48.27,405.3,0.42,0.083,43
