date,compound,pos,neu,neg,trends
2021/1/4,0,0,1,0,20
2021/1/5,0.4588,0.135,0.819,0.046,26
2021/1/6,0.5719,0.305,1.504,0.192,20
2021/1/7,0.6705,0.498,2.222,0.281,22
2021/1/8,1.2481,0.543,3.348,0.109,18
2021/1/11,0,0,0,0,14
2021/1/12,0.6798,0.237,1.642,0.122,30
2021/1/13,0.1531,0.071,0.878,0.051,28
2021/1/14,0.7597,0.186,1.814,0,38
2021/1/15,0.8779,0.536,3.09,0.374,17
2021/1/18,0,0,0,0,23
2021/1/19,0.5538,0.316,1.538,0.146,21
2021/1/20,1.463,0.576,1.424,0,25
2021/1/21,-0.1027,0.045,2.897,0.058,18
2021/1/22,1.2384,0.573,5.172,0.255,21
2021/1/25,-0.802,0,0.825,0.175,27
2021/1/26,-1.038,0,1.47,0.53,32
2021/1/27,-0.011,0.184,2.58,0.236,24
2021/1/28,0.9221,0.378,3.519,0.103,23
2021/1/29,0.4905,0.546,4.16,0.295,22
2021/2/1,0,0,0,0,22
2021/2/2,-0.7409,0.327,2.193,0.48,31
2021/2/3,1.4128,0.42,2.498,0.083,43
2021/2/4,-0.8642,0.679,4.24,1.081,33
2021/2/5,-0.8703,0.618,5.804,0.577,25
2021/2/8,-0.5267,0,0.86,0.14,41
2021/2/9,1.1755,0.289,1.675,0.036,20
2021/2/10,1.7588,0.599,2.357,0.044,30
2021/2/11,0.5016,0.362,1.566,0.072,21
2021/2/12,1.6972,0.574,4.279,0.147,23
2021/2/15,0.5267,0.106,0.894,0,21
2021/2/16,-1.1334,0.111,2.495,0.394,22
2021/2/17,-0.8442,0,0.725,0.275,21
2021/2/18,0.1821,0.428,2.18,0.393,19
2021/2/19,-1.8279,0.273,5.865,0.862,19
2021/2/22,0,0,0,0,28
2021/2/23,0.2082,0.276,1.488,0.236,30
2021/2/24,1.4016,0.58,3.255,0.165,24
2021/2/25,0.9392,0.25,1.694,0.056,29
2021/2/26,0.3385,0.713,6.664,0.624,20
2021/3/1,0,0,0,0,26
2021/3/2,0.3602,0.325,2.46,0.215,25
2021/3/3,1.302,0.563,1.185,0.252,0
2021/3/4,0.6818,0.229,1.736,0.035,23
2021/3/5,-0.3218,0.352,3.183,0.466,27
2021/3/8,0.4215,0.083,0.917,0,25
2021/3/9,0.0764,0.243,1.575,0.182,28
2021/3/10,0.8357,0.315,3.514,0.171,24
2021/3/11,3.1738,0.894,6.065,0.041,25
2021/3/12,2.0592,0.769,5.043,0.188,31
2021/3/15,0.765,0.133,0.867,0,24
2021/3/16,0.9503,0.417,2.444,0.138,30
2021/3/17,-0.8949,0.342,2.071,0.587,29
2021/3/18,1.997,0.64,3.36,0,30
2021/3/19,-0.177,0.697,6.688,0.614,26
2021/3/22,0,0,0,0,36
2021/3/23,0.0569,0.293,1.494,0.212,27
2021/3/24,-0.8449,0.216,2.392,0.392,24
2021/3/25,0.8271,0.539,3.155,0.305,37
2021/3/26,0.5559,0.747,6.596,0.657,20
2021/3/29,0,0,0,0,30
2021/3/30,2.7875,0.796,3.932,0.272,10
2021/3/31,1.7641,0.468,2.425,0.107,25
2021/4/1,-0.0205,0.355,3.314,0.332,13
2021/4/2,1.3303,0.656,2.231,0.113,12
2021/4/5,0,0,0,0,13
2021/4/6,0.5423,0.17,0.748,0.082,25
2021/4/7,-0.132,0.316,2.358,0.325,34
2021/4/8,1.1983,0.341,1.564,0.094,30
2021/4/9,0.3329,0.558,4.008,0.433,24
2021/4/12,0,0,0,0,29
2021/4/13,1.7741,0.634,1.328,0.038,22
2021/4/14,0.7764,0.619,3.976,0.407,29
2021/4/15,-0.8549,0.26,2.308,0.431,31
2021/4/16,2.3137,0.605,5.395,0,23
2021/4/19,-0.8176,0.036,0.699,0.265,0
2021/4/20,-0.3745,0.125,2.622,0.253,27
2021/4/21,3.1281,0.923,4.858,0.219,26
2021/4/22,1.311,0.361,3.595,0.044,35
2021/4/23,3.1014,0.899,6.871,0.23,30
2021/4/26,0,0,1,0,31
2021/4/27,0.3612,0.105,0.836,0.059,34
2021/4/28,0.2535,0.127,1.808,0.065,31
2021/4/29,1.2198,0.613,6.117,0.27,25
2021/4/30,-1.4495,0.25,4.29,0.462,100
2021/5/3,0.1059,0.14,1.741,0.119,30
2021/5/4,0.0772,0.035,0.965,0,29
2021/5/5,2.6249,0.692,5.25,0.058,35
2021/5/6,-0.0222,0.104,1.839,0.057,26
2021/5/7,1.149,0.96,6.501,0.538,35
2021/5/10,0.7579,0.153,0.847,0,38
2021/5/11,2.0699,1.191,6.117,0.691,42
2021/5/12,1.6192,0.493,3.465,0.042,36
2021/5/13,0.8146,0.447,5.196,0.358,18
2021/5/14,0.4497,0.352,3.4,0.248,34
2021/5/17,0.8879,0.249,1.642,0.11,36
2021/5/18,1.1338,0.412,2.488,0.1,42
2021/5/19,0.439,0.213,4.719,0.068,43
2021/5/20,0,0.15,2.735,0.115,40
2021/5/21,-0.5811,0.302,4.295,0.405,34
2021/5/24,0,0,0,0,24
2021/5/25,0.4769,0.324,1.536,0.14,28
2021/5/26,-1.1982,0.36,5.157,0.484,31
2021/5/27,0.8271,0.233,0.767,0,23
2021/5/28,0.5701,0.705,4.847,0.449,28
2021/5/31,0.25,0.237,0.639,0.124,25
2021/6/1,0.765,0.185,0.815,0,20
2021/6/2,2.0078,0.695,4.086,0.219,35
2021/6/3,-0.1817,0.451,3.16,0.389,31
2021/6/4,1.3599,0.44,3.358,0.202,30
2021/6/7,-0.8074,0,0.795,0.205,32
2021/6/8,0.3074,0.161,1.719,0.12,35
2021/6/9,3.0881,1.264,6.386,0.35,34
2021/6/10,-0.4215,0,0.863,0.137,25
2021/6/11,0.4353,0.752,4.708,0.54,24
2021/6/14,1.4739,0.594,3.122,0.283,29
2021/6/15,0.9349,0.378,0.622,0,28
2021/6/16,-0.3985,0.327,3.154,0.517,22
2021/6/17,-0.134,0.188,2.571,0.241,22
2021/6/18,1.6946,0.614,3.121,0.265,15
2021/6/21,0,0,0,0,32
2021/6/22,0.5423,0.17,0.83,0,25
2021/6/23,-0.9999,0.587,3.651,0.762,33
2021/6/24,1.9991,0.601,2.335,0.064,39
2021/6/25,2.1496,1.023,5.526,0.451,23
2021/6/28,-0.7783,0,0.833,0.167,29
2021/6/29,2.6549,0.959,3.809,0.232,31
2021/6/30,1.0443,0.351,2.501,0.148,33
2021/7/1,-0.5867,0.29,3.304,0.406,30
2021/7/2,1.0051,0.559,4.13,0.31,24
2021/7/5,0.2732,0.063,0.937,0,25
2021/7/6,1.5229,0.49,1.51,0,34
2021/7/7,1.5516,0.763,4.739,0.498,38
2021/7/8,-0.0837,0.11,1.716,0.174,30
2021/7/9,1.505,0.908,5.501,0.591,26
2021/7/12,0,0,0,0,32
2021/7/13,1.7784,0.536,4.4,0.064,35
2021/7/14,2.1453,0.616,3.268,0.116,53
2021/7/15,0.8179,0.733,5.873,0.393,36
2021/7/16,-0.4716,0.456,4.744,0.8,34
2021/7/19,1.3127,0.414,1.586,0,46
2021/7/20,0.7269,0.242,0.649,0.109,51
2021/7/21,-0.1776,0.346,2.214,0.441,32
2021/7/22,0.1531,0.145,0.726,0.128,31
2021/7/23,-0.1896,0.575,5.839,0.586,30
2021/7/26,0,0,0,0,31
2021/7/27,0.0937,0.158,2.674,0.168,26
2021/7/28,-0.7023,0.518,4.907,0.575,24
2021/7/29,0.8459,0.44,2.442,0.118,23
2021/7/30,-0.0307,0.816,6.302,0.882,22
2021/8/2,0,0,0,0,22
2021/8/3,2.0078,0.749,3.147,0.104,30
2021/8/4,2.3808,0.794,3.124,0.082,30
2021/8/5,0.2991,0.833,2.643,0.525,20
2021/8/6,2.4389,0.905,2.095,0,17
2021/8/9,0,0,0,0,22
2021/8/10,0.1762,0.715,3.795,0.489,22
2021/8/11,0.8923,0.51,2.308,0.182,25
2021/8/12,-1.1923,0.189,2.358,0.453,24
2021/8/13,0.06,0.468,1.166,0.367,22
2021/8/16,-0.0516,0.067,0.86,0.073,26
2021/8/17,0.0516,0.132,1.742,0.126,27
2021/8/18,0.3124,0.39,2.311,0.298,22
2021/8/19,-0.5106,0,0.837,0.163,19
2021/8/20,0.196,0.257,1.552,0.192,21
2021/8/23,0,0,0,0,28
2021/8/24,0.2732,0.172,0.745,0.083,17
2021/8/25,0.8126,0.244,0.756,0,26
2021/8/26,0.6249,0.226,0.656,0.118,24
2021/8/27,-1.0502,0.061,2.644,0.296,26
2021/8/30,0,0,0,0,25
2021/8/31,0.7948,0.298,1.641,0.061,20
2021/9/1,1.3282,0.387,1.54,0.073,25
2021/9/2,1.2277,0.694,4.127,0.179,35
2021/9/3,1.7477,0.507,2.43,0.062,30
2021/9/6,0.25,0.092,0.868,0.039,34
2021/9/7,1.4644,0.48,2.357,0.163,37
2021/9/8,0.4971,0.577,2.109,0.313,44
2021/9/9,-0.3118,0.324,2.321,0.354,22
2021/9/10,0.6491,0.285,1.643,0.071,26
2021/9/13,-0.0732,0.136,1.762,0.102,35
2021/9/14,2.4461,1.145,5.506,0.35,49
2021/9/15,0.8726,0.227,1.681,0.091,33
2021/9/16,0.5364,0.15,2.85,0,40
2021/9/17,1.9548,0.885,4.589,0.526,26
2021/9/20,0.1531,0.054,0.946,0,15
2021/9/21,2.2612,0.921,2.828,0.251,28
2021/9/22,0.2023,0.067,1.933,0,39
2021/9/23,1.1728,0.878,4.506,0.616,28
2021/9/24,0.6959,0.665,4.939,0.396,24
2021/9/27,1.5289,0.497,1.396,0.107,28
2021/9/28,-0.0772,0.068,0.826,0.106,36
2021/9/29,1.2945,0.647,2.99,0.363,35
2021/9/30,-0.5574,0.129,1.67,0.201,32
2021/10/1,1.3362,0.672,6.025,0.303,24
2021/10/4,1.4926,0.405,1.595,0,22
2021/10/5,-0.1804,0.42,4.105,0.476,40
2021/10/6,1.8015,0.708,5.054,0.239,37
2021/10/7,0.1318,0.228,2.643,0.13,29
2021/10/8,1.1867,0.915,5.511,0.575,38
2021/10/11,0,0,0,0,36
2021/10/12,1.0162,0.306,1.548,0.146,39
2021/10/13,-0.0205,0.301,3.406,0.293,36
